	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	KEGG_Pathways
148	6199	5243	5717	5190	5979	5097	5297	5292	5810	5725	5173	4912	5390	5373	4619	5151	5432	4996	5406	4845	Environmental Information Processing; Signal Transduction; MAPK signaling pathway - yeast
149	5317	5483	5346	4623	5837	4774	4957	5671	5406	5397	4833	4893	5786	6024	5094	5737	6269	5498	5630	5062	Metabolism; Metabolism of Cofactors and Vitamins; Lipoic acid metabolism
150	5567	5380	5333	5601	5303	5331	5914	5292	4935	5667	5405	4900	5599	5140	4838	5411	5333	5660	4762	5195	Metabolism; Metabolism of Terpenoids and Polyketides; Limonene and pinene degradation
151	3788	4890	4710	4103	3601	4564	4641	4664	4452	4043	3319	4185	3604	3640	4641	3584	3623	3826	4291	3798	Unclassified; Metabolism; Carbohydrate metabolism
152	3372	4071	4392	3705	4098	4596	3439	4426	4120	4130	3800	3685	3291	3551	4631	3996	3759	3335	4204	4243	Cellular Processes; Cell Motility; Bacterial chemotaxis
153	3589	4084	4008	4574	2955	3837	4245	3547	3270	3184	3504	4429	3725	3161	5004	3609	3202	3616	3834	3788	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of ansamycins
154	3168	3564	4132	3950	3860	4748	3544	4470	4164	4843	3903	2568	2906	3380	3186	3317	2970	3153	3652	3669	Cellular Processes; Cell Motility; Flagellar assembly
155	3562	3416	3623	3038	3302	3472	3193	3469	3466	3633	3649	3646	3068	3465	3456	3691	3526	2854	3556	3337	Metabolism; Lipid Metabolism; Biosynthesis of unsaturated fatty acids
156	3538	3816	3199	3777	3197	3881	3211	3114	3171	3358	3757	3651	2997	2813	3811	3286	3362	3303	3234	3266	Unclassified; Metabolism; Nucleotide metabolism
157	3554	3596	3884	3871	3560	3453	3563	3998	3335	3705	3145	3465	3304	3104	3762	2917	2964	3143	3511	2921	Metabolism; Xenobiotics Biodegradation and Metabolism; Bisphenol degradation
158	3350	3215	3647	3581	3316	4036	3506	3681	3807	3943	2913	3178	2919	3240	3442	3339	3283	2733	3099	3328	Unclassified; Metabolism; Lipid metabolism
159	2907	3675	3434	3513	3180	3460	3473	3216	3244	3550	3474	3144	3331	2865	3501	3489	3377	3157	3606	3508	Human Diseases; Cancers; Prostate cancer
160	3120	3453	3417	3067	3176	3260	3033	2944	3280	3328	3493	3242	3234	3309	3710	2939	3330	3191	3653	2869	Unclassified; Metabolism; Biosynthesis and biodegradation of secondary metabolites
161	2963	3127	3436	2857	3066	3106	3245	3427	3095	3091	3438	3285	3027	2953	3573	3042	3399	3056	2977	3298	Organismal Systems; Endocrine System; Insulin signaling pathway
162	2916	3110	3248	3287	3284	3355	2984	2879	2906	3268	3104	3299	2889	2928	3325	2828	3175	3296	2898	3125	Human Diseases; Cancers; Pathways in cancer
163	2949	3319	2995	2938	2914	3368	2814	2994	2980	2833	3288	2791	3298	3085	2885	3146	2890	3202	3380	3095	Unclassified; Metabolism; Metabolism of cofactors and vitamins
164	2862	3049	3445	2990	2796	2958	3506	2998	3369	3197	2833	2989	3185	2816	2819	3351	3137	3169	3069	3232	Metabolism; Metabolism of Terpenoids and Polyketides; Zeatin biosynthesis
165	3132	3155	3247	3200	2838	3306	3389	3051	2822	3177	2818	3077	3044	3200	2987	2778	2999	2884	3116	3361	Human Diseases; Infectious Diseases; Vibrio cholerae pathogenic cycle
166	2867	3033	2954	2729	2855	2804	3203	3300	2831	3085	2706	2935	3035	2844	3255	2840	3113	2823	2756	2844	Organismal Systems; Immune System; NOD-like receptor signaling pathway
167	2956	2892	3123	3227	2709	2709	2958	3387	3272	3073	3067	3152	3214	3262	2911	2869	2778	2798	3170	2727	Metabolism; Biosynthesis of Other Secondary Metabolites; Isoquinoline alkaloid biosynthesis
168	3253	3108	2997	2784	2866	2924	3233	2870	2780	2740	3371	3156	2906	2989	3295	3116	3014	3102	3233	3013	Human Diseases; Immune System Diseases; Primary immunodeficiency
169	2949	2900	3066	2916	3252	3438	2922	3183	3195	3294	2787	2491	2828	2663	2926	2625	2619	2566	2750	2526	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
170	3164	3098	3386	3095	3092	3377	3043	3384	3182	2872	2610	2627	2754	2620	2845	2593	3131	2862	2872	2544	Genetic Information Processing; Folding, Sorting and Degradation; Proteasome
171	2984	2910	3067	2871	2974	3152	3202	2960	3046	3210	2799	3170	3040	3118	2885	2922	2860	2964	2802	2991	Genetic Information Processing; Translation; Ribosome biogenesis in eukaryotes
172	2879	2799	3110	2816	3016	2919	2813	2597	2972	2979	2786	2959	2814	3256	2983	3051	3231	2908	3029	2761	Human Diseases; Metabolic Diseases; Type II diabetes mellitus
173	2940	3190	3215	3563	3138	3105	3273	3141	2807	3035	2548	2803	2688	2985	2499	2658	2742	2634	2990	2608	Organismal Systems; Immune System; Antigen processing and presentation
174	3119	3384	3181	3053	3011	3042	3301	3241	3069	3409	2942	2827	2864	2646	2446	2985	2578	2883	2593	2939	Organismal Systems; Endocrine System; Progesterone-mediated oocyte maturation
175	2776	2795	3158	3074	3094	3025	3049	3387	2573	2790	2866	2789	2858	2821	2795	2805	2969	3315	2768	3029	Metabolism; Lipid Metabolism; Linoleic acid metabolism
176	3168	3155	2877	2617	2676	2971	2919	2787	2751	2879	2792	2909	2748	2720	2922	3036	2992	2792	2972	2766	Metabolism; Lipid Metabolism; Primary bile acid biosynthesis
177	2821	3036	3062	2977	2698	2930	2906	3022	2612	2845	3076	3070	3248	3109	3148	2947	3070	2811	2950	3038	Metabolism; Lipid Metabolism; Secondary bile acid biosynthesis
178	2924	3353	3382	2948	2854	2841	2999	2956	3294	2918	2724	2322	2681	2693	2543	2819	2697	2809	2688	2837	Metabolism; Xenobiotics Biodegradation and Metabolism; Ethylbenzene degradation
179	3194	2670	2861	2632	3430	2567	3348	3349	3196	3107	2798	2636	2985	2933	2628	2851	2633	2759	2739	2929	Organismal Systems; Digestive System; Protein digestion and absorption
180	2606	2444	2585	2729	2958	3049	2534	2735	2848	2898	2912	2471	2786	3061	2451	2764	2883	3167	2495	3170	Metabolism; Metabolism of Terpenoids and Polyketides; Tetracycline biosynthesis
181	3080	2517	2787	2517	3220	2521	2597	2692	3036	3067	2534	2547	2771	2754	2363	2747	2750	2823	2733	2754	Unclassified; Metabolism; Glycan biosynthesis and metabolism
182	2847	2457	2637	2811	3094	2673	2571	3034	2908	2872	2851	2665	3015	3104	2647	2626	3007	2562	2652	3096	Metabolism; Metabolism of Terpenoids and Polyketides; Geraniol degradation
183	2853	2816	3023	2943	3260	2873	2848	2664	3223	3308	2464	2371	2778	2416	2189	2618	2928	2703	2372	2735	Human Diseases; Neurodegenerative Diseases; Huntington's disease
184	2891	2821	2703	2372	3178	2400	3002	2973	3119	2698	2828	2596	3051	2815	2295	3018	2693	2922	2658	2543	Human Diseases; Infectious Diseases; Pertussis
185	2578	2429	2638	2568	2674	2694	2878	2963	2623	2774	2758	2399	2576	2684	2313	2528	2650	2696	2625	2820	Metabolism; Glycan Biosynthesis and Metabolism; N-Glycan biosynthesis
186	2682	2860	2510	2667	3056	2374	2498	2614	2886	2823	2894	2622	3056	2634	2333	2545	3014	2615	2758	2525	Organismal Systems; Excretory System; Proximal tubule bicarbonate reclamation
187	2622	2413	2945	2794	3010	2723	2716	3090	2583	2929	2113	2304	2709	2465	2003	2387	2634	2821	2233	2396	Metabolism; Metabolism of Other Amino Acids; Phosphonate and phosphinate metabolism
188	2897	2588	2806	2645	2909	2588	2710	2761	3165	2800	2417	2340	2563	2838	2325	2426	2796	2657	2206	2528	Metabolism; Biosynthesis of Other Secondary Metabolites; Penicillin and cephalosporin biosynthesis
189	2855	2711	2523	2752	2887	2344	2550	2521	2720	2589	2745	2559	2938	3006	2366	2711	2588	2441	2500	2900	Metabolism; Biosynthesis of Other Secondary Metabolites; beta-Lactam resistance
190	2457	2453	2470	2678	2692	2547	2445	2453	2515	2533	2644	2456	2428	2711	2683	2736	2949	2680	2750	2391	Human Diseases; Neurodegenerative Diseases; Amyotrophic lateral sclerosis (ALS)
191	1373	3065	3337	2104	1772	4396	1543	3059	1950	3324	2314	1540	1022	1878	2989	2755	1580	1134	2650	2189	Unclassified; Cellular Processes and Signaling; Sporulation
192	628	827	817	274	350	606	480	958	585	497	543	492	519	337	760	536	562	247	792	520	Metabolism; Lipid Metabolism; Steroid hormone biosynthesis
193	376	740	499	425	230	690	335	399	395	450	547	813	362	212	829	409	336	269	602	356	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavonoid biosynthesis
194	479	759	538	508	231	691	416	479	428	431	488	743	317	211	767	332	326	204	626	335	Metabolism; Biosynthesis of Other Secondary Metabolites; Stilbenoid, diarylheptanoid and gingerol biosynthesis
195	275	602	397	685	120	745	428	404	207	223	442	643	303	103	866	368	183	374	359	329	Metabolism; Lipid Metabolism; Synthesis and degradation of ketone bodies
196	301	401	283	541	142	497	299	318	237	248	291	372	258	172	498	307	147	269	344	349	Metabolism; Xenobiotics Biodegradation and Metabolism; Nitrotoluene degradation
197	343	497	377	150	186	464	234	275	392	359	345	380	227	184	497	270	361	111	462	179	Cellular Processes; Cell Growth and Death; Apoptosis
198	198	331	295	356	121	342	373	383	153	175	229	394	234	123	572	265	163	226	296	239	Metabolism; Lipid Metabolism; Arachidonic acid metabolism
199	235	329	289	350	82	505	278	284	185	191	275	342	282	96	542	210	179	219	219	254	Environmental Information Processing; Signaling Molecules and Interaction; Ion channels
200	151	220	326	231	182	539	131	219	208	443	235	84	102	200	336	190	178	125	265	190	Metabolism; Xenobiotics Biodegradation and Metabolism; Dioxin degradation
201	123	195	308	180	162	474	94	183	204	364	222	103	107	229	320	205	155	139	254	195	Metabolism; Xenobiotics Biodegradation and Metabolism; Xylene degradation
202	137	209	131	305	26	288	205	127	58	90	151	306	158	36	380	144	42	183	128	110	Human Diseases; Cancers; Renal cell carcinoma
203	120	231	148	329	44	248	205	176	58	99	176	279	118	23	381	133	35	150	151	108	Metabolism; Metabolism of Other Amino Acids; D-Arginine and D-ornithine metabolism
204	85	263	239	128	97	307	132	206	127	194	147	127	59	122	250	173	125	69	184	131	Unclassified; Cellular Processes and Signaling; Germination
205	107	117	167	102	122	193	212	177	114	166	132	76	84	108	142	114	111	55	174	125	Organismal Systems; Digestive System; Carbohydrate digestion and absorption
206	85	90	177	96	102	132	208	221	91	156	117	77	55	131	150	140	106	68	120	94	Metabolism; Metabolism of Cofactors and Vitamins; Retinol metabolism
207	114	104	152	104	98	313	38	88	107	106	122	21	71	90	208	83	137	66	106	140	Metabolism; Xenobiotics Biodegradation and Metabolism; Atrazine degradation
208	91	121	180	40	102	169	226	226	72	79	94	66	48	75	142	121	90	27	99	92	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of siderophore group nonribosomal peptides
209	85	93	143	32	40	68	71	181	84	63	57	37	87	56	108	93	71	57	124	101	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavone and flavonol biosynthesis
210	83	79	131	31	28	70	76	164	77	44	46	25	89	42	96	68	70	54	104	93	Human Diseases; Infectious Diseases; Amoebiasis
211	56	56	76	81	55	106	39	90	39	96	75	40	49	75	122	57	62	53	66	65	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - cytochrome P450
212	41	52	82	68	72	96	40	77	39	90	67	32	42	70	89	51	50	49	68	79	Metabolism; Xenobiotics Biodegradation and Metabolism; Metabolism of xenobiotics by cytochrome P450
213	59	41	56	81	50	90	38	91	46	61	40	18	69	50	56	48	57	41	74	74	Unclassified; Cellular Processes and Signaling; Electron transfer carriers
214	50	64	56	53	33	126	23	49	37	34	47	23	30	40	99	51	49	38	60	58	Human Diseases; Neurodegenerative Diseases; Prion diseases
215	57	84	68	30	29	109	25	62	49	49	42	18	26	27	94	48	53	27	62	53	Genetic Information Processing; Folding, Sorting and Degradation; Ubiquitin system
216	22	37	37	35	23	55	20	61	37	27	28	16	28	29	44	40	24	30	39	36	Metabolism; Xenobiotics Biodegradation and Metabolism; Caprolactam degradation
217	43	36	38	37	26	36	27	53	29	27	22	10	21	33	37	31	26	26	50	35	Metabolism; Xenobiotics Biodegradation and Metabolism; Chlorocyclohexane and chlorobenzene degradation
218	31	33	32	32	24	44	25	36	34	31	38	16	28	30	35	42	25	24	31	32	Metabolism; Xenobiotics Biodegradation and Metabolism; Styrene degradation
219	28	30	34	29	14	84	4	8	31	27	35	4	23	20	57	11	37	14	20	38	Metabolism; Lipid Metabolism; alpha-Linolenic acid metabolism
220	14	40	23	11	6	31	23	28	7	10	15	21	10	11	54	22	28	10	30	14	Genetic Information Processing; Replication and Repair; Non-homologous end-joining
221	17	4	3	16	13	8	3	7	7	8	14	0	15	13	8	9	9	11	5	21	Cellular Processes; Cell Growth and Death; Meiosis - yeast
222	17	2	3	20	12	5	4	5	6	9	7	1	7	11	5	7	6	12	4	14	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
223	11	14	10	1	3	10	2	6	6	5	4	0	4	2	8	8	3	3	8	6	Human Diseases; Infectious Diseases; Staphylococcus aureus infection
224	5	3	6	5	7	9	3	5	2	3	3	5	1	4	7	7	1	5	16	2	Unclassified; Genetic Information Processing; Transcription related proteins
225	1	13	5	2	3	8	3	12	2	1	5	6	1	3	14	6	7	4	3	1	Environmental Information Processing; Signaling Molecules and Interaction; G protein-coupled receptors
226	7	3	3	3	1	4	0	1	3	0	2	0	0	2	3	2	2	0	6	1	Organismal Systems; Immune System; RIG-I-like receptor signaling pathway
227	1	1	4	0	2	3	3	5	1	2	1	0	2	1	3	1	1	2	5	3	Organismal Systems; Digestive System; Mineral absorption
228	2	3	3	3	2	2	1	1	4	5	0	1	3	2	2	1	3	1	2	0	Human Diseases; Infectious Diseases; African trypanosomiasis
229	1	1	2	2	0	3	2	0	1	5	0	1	0	1	2	1	3	0	0	0	Human Diseases; Infectious Diseases; Chagas disease (American trypanosomiasis)
230	0	2	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	2	1	Metabolism; Metabolism of Terpenoids and Polyketides; Carotenoid biosynthesis
231	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins
232	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	Metabolism; Lipid Metabolism; Ether lipid metabolism
233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Metabolism; Xenobiotics Biodegradation and Metabolism; Fluorobenzoate degradation
